"Date","Price","Open","High","Low","Vol.","Change %"
"05-05-2023","65.40","65.50","66.70","64.25","94.02M","-0.46%"
"04-05-2023","65.70","63.50","66.60","63.35","123.04M","3.38%"
"03-05-2023","63.55","63.45","64.95","63.15","65.08M","0.16%"
"02-05-2023","63.45","64.50","65.65","63.05","112.76M","-2.23%"
"28-04-2023","64.90","60.80","66.00","59.55","190.94M","6.92%"
"27-04-2023","60.70","58.60","61.15","58.35","82.97M","4.30%"
"26-04-2023","58.20","58.10","59.00","57.10","59.77M","0.78%"
"25-04-2023","57.75","56.40","60.60","56.20","199.06M","3.13%"
"24-04-2023","56.00","55.50","56.40","54.70","43.29M","-0.09%"
"21-04-2023","56.05","54.30","56.75","54.10","106.71M","3.41%"
"20-04-2023","54.20","54.15","54.40","53.65","23.10M","0.09%"
"19-04-2023","54.15","53.60","55.95","53.20","62.02M","1.59%"
"18-04-2023","53.30","54.05","54.20","53.05","27.62M","-1.20%"
"17-04-2023","53.95","54.20","54.25","53.00","24.79M","0.19%"
"13-04-2023","53.85","53.20","54.15","52.85","26.65M","1.22%"
"12-04-2023","53.20","54.25","54.25","52.90","30.85M","-1.39%"
"11-04-2023","53.95","54.65","55.25","53.25","41.10M","0.00%"
"10-04-2023","53.95","52.15","54.20","51.80","60.66M","3.45%"
"06-04-2023","52.15","51.75","52.45","51.30","19.70M","0.87%"
"05-04-2023","51.70","52.10","52.90","51.55","25.50M","-0.48%"
"03-04-2023","51.95","51.50","52.15","50.90","29.24M","1.86%"
"31-03-2023","51.00","51.25","51.70","50.65","56.57M","-0.49%"
"29-03-2023","51.25","50.25","51.75","49.60","41.46M","1.99%"
"28-03-2023","50.25","50.20","50.55","49.00","50.43M","0.30%"
"27-03-2023","50.10","50.70","51.30","49.25","49.62M","-1.09%"
"24-03-2023","50.65","52.50","52.85","50.15","67.24M","-3.80%"
"23-03-2023","52.65","52.90","53.20","52.10","32.82M","-0.85%"
"22-03-2023","53.10","53.40","53.90","52.70","38.45M","0.19%"
"21-03-2023","53.00","53.85","54.15","52.65","31.63M","-1.03%"
"20-03-2023","53.55","53.60","54.75","52.20","65.58M","-2.46%"
"17-03-2023","54.90","53.45","55.75","53.05","112.92M","3.49%"
"16-03-2023","53.05","50.90","53.70","49.85","61.24M","4.53%"
"15-03-2023","50.75","51.50","52.20","50.55","38.76M","0.00%"
"14-03-2023","50.75","52.00","52.50","50.20","52.25M","-2.22%"
"13-03-2023","51.90","53.95","54.70","51.60","52.38M","-3.62%"
"10-03-2023","53.85","53.80","54.50","53.30","39.23M","-0.37%"
"09-03-2023","54.05","55.10","56.35","53.90","56.02M","-1.37%"
"08-03-2023","54.80","53.45","55.30","52.65","44.16M","1.58%"
"06-03-2023","53.95","54.00","54.95","53.70","33.49M","0.56%"
"03-03-2023","53.65","54.90","55.40","53.20","36.94M","-1.65%"
"02-03-2023","54.55","54.75","55.20","54.35","36.26M","-0.73%"
"01-03-2023","54.95","53.50","55.35","53.35","42.86M","2.71%"
"28-02-2023","53.50","53.70","54.40","53.00","45.42M","-0.19%"
"27-02-2023","53.60","54.70","54.75","53.20","38.74M","-1.56%"
"24-02-2023","54.45","55.50","56.75","54.00","73.44M","-0.91%"
"23-02-2023","54.95","53.00","56.00","52.80","118.06M","3.78%"
"22-02-2023","52.95","54.85","55.40","52.60","75.80M","-4.34%"
